"source_record_id","name_ja","historical_address","master_code_UNKNOWN","source_url"
"geoshape-nrct-poi:010000077800","曹渓寺","北海道 北斗市 茂辺地四丁目4番37号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000077800.html"
"geoshape-nrct-poi:010000078000","矢不来天満宮","北海道 北斗市 矢不来138番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000078000.html"
"geoshape-nrct-poi:010000078100","茂別館跡","北海道 北斗市 矢不来","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000078100.html"
"geoshape-nrct-poi:010000078200","矢不来台場跡","北海道 上磯郡木古内町 字幸連","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000078200.html"
"geoshape-nrct-poi:010000078300","茂別遺跡","北海道 上磯郡木古内町 字幸連","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000078300.html"
"geoshape-nrct-poi:010000078500","慈教寺","北海道 中川郡池田町 字旭町三丁目5番地1","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000078500.html"
"geoshape-nrct-poi:010000078700","谷好寺","北海道 北斗市 谷好三丁目12番5号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000078700.html"
"geoshape-nrct-poi:010000079100","松前藩戸切地陣屋跡","北海道 上磯郡木古内町 字幸連","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000079100.html"
"geoshape-nrct-poi:010000079400","有川大神宮","北海道 北斗市 中央一丁目3番3号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000079400.html"
"geoshape-nrct-poi:010000079500","上磯八幡宮","北海道 上磯郡木古内町 字幸連","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000079500.html"
"geoshape-nrct-poi:010000079600","禅林寺","北海道 北斗市 中央二丁目3番19号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000079600.html"
"geoshape-nrct-poi:010000079700","広徳寺","北海道 室蘭市 みゆき町一丁目6番5号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000079700.html"
"geoshape-nrct-poi:010000079800","東光寺","北海道 中川郡幕別町 忠類錦町435番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000079800.html"
"geoshape-nrct-poi:010000079900","妙隆寺","北海道 登別市 富岸町61番地2","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000079900.html"
"geoshape-nrct-poi:010000081000","清川寺","北海道 北斗市 野崎85番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000081000.html"
"geoshape-nrct-poi:010000081300","意冨比神社","北海道 北斗市 本町二丁目8番","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000081300.html"
"geoshape-nrct-poi:010000081400","光明寺","北海道 芦別市 常磐町558番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000081400.html"
"geoshape-nrct-poi:010000081500","法亀寺","北海道 北斗市 向野一丁目14番13号","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000081500.html"
"geoshape-nrct-poi:010000081800","大郷寺","北海道 北斗市 本郷一丁目4番","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000081800.html"
"geoshape-nrct-poi:010000082900","三嶋神社","北海道 函館市 赤川町453番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000082900.html"
"geoshape-nrct-poi:010000083000","宝琳寺","北海道 亀田郡七飯町 字桜町529番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000083000.html"
"geoshape-nrct-poi:010000083100","国立療養所裏遺跡","北海道 亀田郡七飯町 字本町","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000083100.html"
"geoshape-nrct-poi:010000083200","桜町遺跡","北海道 亀田郡七飯町 桜町二丁目","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000083200.html"
"geoshape-nrct-poi:010000084000","聖山遺跡","北海道 亀田郡七飯町 字峠下","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000084000.html"
"geoshape-nrct-poi:010000084600","大中山神社","北海道 札幌市 清田区平岡二条一丁目3番","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/01/010000084600.html"
"geoshape-nrct-poi:020000005800","夏坂番所跡","青森県 三戸郡田子町 −","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000005800.html"
"geoshape-nrct-poi:020000006100","洞円寺","青森県 三戸郡田子町 大字関字関160番地","","https://geoshape.ex.nii.ac.jp/nrct-poi/resource/02/020000006100.html"
