"variant_id","source_job_id","entity_id","destination_id","batch_id","country_code","profile_id","max_width","max_height","fit","without_enlargement","format","max_bytes","status","physical_path","physical_bytes","parent_profile_file"
"variant:jp-nagasaki:md","source:jp-nagasaki:master","jp-nagasaki","jp-nagasaki","JP-S-03","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-nagasaki:lg","source:jp-nagasaki:master","jp-nagasaki","jp-nagasaki","JP-S-03","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kumamoto:md","source:jp-kumamoto:master","jp-kumamoto","jp-kumamoto","JP-S-03","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kumamoto:lg","source:jp-kumamoto:master","jp-kumamoto","jp-kumamoto","JP-S-03","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-aso:md","source:jp-aso:master","jp-aso","jp-aso","JP-S-03","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-aso:lg","source:jp-aso:master","jp-aso","jp-aso","JP-S-03","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kagoshima:md","source:jp-kagoshima:master","jp-kagoshima","jp-kagoshima","JP-S-03","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kagoshima:lg","source:jp-kagoshima:master","jp-kagoshima","jp-kagoshima","JP-S-03","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-naha:md","source:jp-naha:master","jp-naha","jp-naha","JP-S-03","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-naha:lg","source:jp-naha:master","jp-naha","jp-naha","JP-S-03","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-ishigaki:md","source:jp-ishigaki:master","jp-ishigaki","jp-ishigaki","JP-S-03","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-ishigaki:lg","source:jp-ishigaki:master","jp-ishigaki","jp-ishigaki","JP-S-03","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-matsuyama:md","source:jp-matsuyama:master","jp-matsuyama","jp-matsuyama","JP-S-03","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-matsuyama:lg","source:jp-matsuyama:master","jp-matsuyama","jp-matsuyama","JP-S-03","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-takamatsu:md","source:jp-takamatsu:master","jp-takamatsu","jp-takamatsu","JP-S-03","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-takamatsu:lg","source:jp-takamatsu:master","jp-takamatsu","jp-takamatsu","JP-S-03","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kochi:md","source:jp-kochi:master","jp-kochi","jp-kochi","JP-S-04","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kochi:lg","source:jp-kochi:master","jp-kochi","jp-kochi","JP-S-04","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-fujikawaguchiko:md","source:jp-fujikawaguchiko:master","jp-fujikawaguchiko","jp-fujikawaguchiko","JP-S-04","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-fujikawaguchiko:lg","source:jp-fujikawaguchiko:master","jp-fujikawaguchiko","jp-fujikawaguchiko","JP-S-04","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-karuizawa:md","source:jp-karuizawa:master","jp-karuizawa","jp-karuizawa","JP-S-04","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-karuizawa:lg","source:jp-karuizawa:master","jp-karuizawa","jp-karuizawa","JP-S-04","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-matsumoto:md","source:jp-matsumoto:master","jp-matsumoto","jp-matsumoto","JP-S-04","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-matsumoto:lg","source:jp-matsumoto:master","jp-matsumoto","jp-matsumoto","JP-S-04","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-furano:md","source:jp-furano:master","jp-furano","jp-furano","JP-S-04","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-furano:lg","source:jp-furano:master","jp-furano","jp-furano","JP-S-04","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-biei:md","source:jp-biei:master","jp-biei","jp-biei","JP-S-04","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-biei:lg","source:jp-biei:master","jp-biei","jp-biei","JP-S-04","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-niseko:md","source:jp-niseko:master","jp-niseko","jp-niseko","JP-S-04","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-niseko:lg","source:jp-niseko:master","jp-niseko","jp-niseko","JP-S-04","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-shiretoko:md","source:jp-shiretoko:master","jp-shiretoko","jp-shiretoko","JP-S-04","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-shiretoko:lg","source:jp-shiretoko:master","jp-shiretoko","jp-shiretoko","JP-S-04","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-noboribetsu:md","source:jp-noboribetsu:master","jp-noboribetsu","jp-noboribetsu","JP-S-04","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-noboribetsu:lg","source:jp-noboribetsu:master","jp-noboribetsu","jp-noboribetsu","JP-S-04","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-lake-toya:md","source:jp-lake-toya:master","jp-lake-toya","jp-lake-toya","JP-S-04","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-lake-toya:lg","source:jp-lake-toya:master","jp-lake-toya","jp-lake-toya","JP-S-04","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-asahikawa:md","source:jp-asahikawa:master","jp-asahikawa","jp-asahikawa","JP-S-05","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-asahikawa:lg","source:jp-asahikawa:master","jp-asahikawa","jp-asahikawa","JP-S-05","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kushiro:md","source:jp-kushiro:master","jp-kushiro","jp-kushiro","JP-S-05","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kushiro:lg","source:jp-kushiro:master","jp-kushiro","jp-kushiro","JP-S-05","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-obihiro:md","source:jp-obihiro:master","jp-obihiro","jp-obihiro","JP-S-05","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-obihiro:lg","source:jp-obihiro:master","jp-obihiro","jp-obihiro","JP-S-05","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-aomori:md","source:jp-aomori:master","jp-aomori","jp-aomori","JP-S-05","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-aomori:lg","source:jp-aomori:master","jp-aomori","jp-aomori","JP-S-05","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hirosaki:md","source:jp-hirosaki:master","jp-hirosaki","jp-hirosaki","JP-S-05","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hirosaki:lg","source:jp-hirosaki:master","jp-hirosaki","jp-hirosaki","JP-S-05","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hachinohe:md","source:jp-hachinohe:master","jp-hachinohe","jp-hachinohe","JP-S-05","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hachinohe:lg","source:jp-hachinohe:master","jp-hachinohe","jp-hachinohe","JP-S-05","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-morioka:md","source:jp-morioka:master","jp-morioka","jp-morioka","JP-S-05","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-morioka:lg","source:jp-morioka:master","jp-morioka","jp-morioka","JP-S-05","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hiraizumi:md","source:jp-hiraizumi:master","jp-hiraizumi","jp-hiraizumi","JP-S-05","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-hiraizumi:lg","source:jp-hiraizumi:master","jp-hiraizumi","jp-hiraizumi","JP-S-05","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-matsushima:md","source:jp-matsushima:master","jp-matsushima","jp-matsushima","JP-S-05","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-matsushima:lg","source:jp-matsushima:master","jp-matsushima","jp-matsushima","JP-S-05","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-akiu:md","source:jp-akiu:master","jp-akiu","jp-akiu","JP-S-05","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-akiu:lg","source:jp-akiu:master","jp-akiu","jp-akiu","JP-S-05","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-akita:md","source:jp-akita:master","jp-akita","jp-akita","JP-S-06","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-akita:lg","source:jp-akita:master","jp-akita","jp-akita","JP-S-06","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kakunodate:md","source:jp-kakunodate:master","jp-kakunodate","jp-kakunodate","JP-S-06","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kakunodate:lg","source:jp-kakunodate:master","jp-kakunodate","jp-kakunodate","JP-S-06","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-yamagata:md","source:jp-yamagata:master","jp-yamagata","jp-yamagata","JP-S-06","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-yamagata:lg","source:jp-yamagata:master","jp-yamagata","jp-yamagata","JP-S-06","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-zao:md","source:jp-zao:master","jp-zao","jp-zao","JP-S-06","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-zao:lg","source:jp-zao:master","jp-zao","jp-zao","JP-S-06","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-ginzan-onsen:md","source:jp-ginzan-onsen:master","jp-ginzan-onsen","jp-ginzan-onsen","JP-S-06","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-ginzan-onsen:lg","source:jp-ginzan-onsen:master","jp-ginzan-onsen","jp-ginzan-onsen","JP-S-06","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-fukushima:md","source:jp-fukushima:master","jp-fukushima","jp-fukushima","JP-S-06","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-fukushima:lg","source:jp-fukushima:master","jp-fukushima","jp-fukushima","JP-S-06","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-aizuwakamatsu:md","source:jp-aizuwakamatsu:master","jp-aizuwakamatsu","jp-aizuwakamatsu","JP-S-06","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-aizuwakamatsu:lg","source:jp-aizuwakamatsu:master","jp-aizuwakamatsu","jp-aizuwakamatsu","JP-S-06","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-ouchi-juku:md","source:jp-ouchi-juku:master","jp-ouchi-juku","jp-ouchi-juku","JP-S-06","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-ouchi-juku:lg","source:jp-ouchi-juku:master","jp-ouchi-juku","jp-ouchi-juku","JP-S-06","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kawagoe:md","source:jp-kawagoe:master","jp-kawagoe","jp-kawagoe","JP-S-06","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kawagoe:lg","source:jp-kawagoe:master","jp-kawagoe","jp-kawagoe","JP-S-06","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kusatsu-onsen:md","source:jp-kusatsu-onsen:master","jp-kusatsu-onsen","jp-kusatsu-onsen","JP-S-06","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-kusatsu-onsen:lg","source:jp-kusatsu-onsen:master","jp-kusatsu-onsen","jp-kusatsu-onsen","JP-S-06","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-takasaki:md","source:jp-takasaki:master","jp-takasaki","jp-takasaki","JP-S-07","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-takasaki:lg","source:jp-takasaki:master","jp-takasaki","jp-takasaki","JP-S-07","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-mito:md","source:jp-mito:master","jp-mito","jp-mito","JP-S-07","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-mito:lg","source:jp-mito:master","jp-mito","jp-mito","JP-S-07","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-tsukuba:md","source:jp-tsukuba:master","jp-tsukuba","jp-tsukuba","JP-S-07","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-tsukuba:lg","source:jp-tsukuba:master","jp-tsukuba","jp-tsukuba","JP-S-07","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-narita:md","source:jp-narita:master","jp-narita","jp-narita","JP-S-07","JP","md","960","960","inside","true","webp","450000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
"variant:jp-narita:lg","source:jp-narita:master","jp-narita","jp-narita","JP-S-07","JP","lg","1600","1600","inside","true","webp","900000","expected_only","","","docs/assets/catalog/asset-size-profiles.v1.json"
